"","Site","SiteName","VEGID","Type","LAT","LONG","ALTITUDE","Aspect","Slope","Description","Understory","Moss","H2O","Edge","habitat","edgedist","edgetype","pforest.","sforest.","natdist.","pasture.","coffee.","note","Area_Basal","Group_cover","Subcanopy","Sitio","HabitatSitio","Fecha","Hora","Cielo","Viento","Rio","AMACYC*","CAEAUR*","CORATR","CYCGUJ","FALSPA","GLABRA","DIVDIV","ICTCHR","MELFOR","PSIMOR","SALATR","ARCCOL","CYAMEL","EMPMIN","MELAUR","PSAMON","AULPRA","BASRUF","CARPUS","DUMCAR","HENLEU","VERCRY","AMARUT","EMPFLT*","SALMAX","SETVIR","TROCAL","VIRPHI","PIOSEN","SETCIT","SETMAG","SETPEN","SETRUT","ELAFOR","LEPSOU","OREPER","PSAWAG","TOLSUL","TURGRA","VERPIN","ICTPLU","VIRFLF*","EUPELE","MNIVAR","QUIMEX","TITSEM","ATTSPA","COLRUB","PITSUL","SETGRA","CANMOD","HYLMUS","LEPVEX*","MYITUB","TROAED","VIRPLU","HENLES*","ONCCIN","AIMRUS*","AMAALB","EUPNAN","PIRRUB","SEIAUR","ACCCHI","CAMZON","CONCOO","CYASTE","MYIPIC","PENNIG","SPINOT","STRZON","TAPNAE","CRYSOU","MOMMOM","PSIHOL","BUTANT","HYLLEU","CROSUL","MYILUT","MYIVIR","BUTALN*","DRYLIN","BUTMAG","MEGPIT","SETPIM*","PIACAY","SITGRI","ZENASI","MYISIM","RAMSUL","VIRSOL","EUPHIR","ICTGAL","BASCUL","AMBHOL","EUPEXI","HYLDEC","MICPHI","MYAUNI","GEOFOR","MYICRI","PHASTR","CHLCAV*","NYCALB","HABRUB","PIRFLA","POLCAE","SARPAP","ELALEU","SETDOM","AMABER","CHAVAU","BUTPLT*","PTETOR","CERTYR","SETCAE","MIOOLE","FALRUF","CHLOCC","SETFUS","TIAOLI","CAMGUA","BUTBRA","CATUST","PATFLA","CHLFLP*","MYIMIN","ANAVAR","THRRUL*","CATAUN*","HABFUS","LAMSYB","BUTPLG*","XIPFLA","ORTVET","EUMSUP"
"1",1,"El Plan de Tule #1","1","F","15.22879237","-87.44550713","879.00",114,"M","Forest > 100m in all directions. Canopy cover is minimal. Mature trees are mostly pine. Moderate slope. Some grazing along paths but other areas largely intact.","P","FALSO","FALSO","FALSO","SF",0,NA,0,100,0,0,0,"",10,13,6,"1","1F","03/19/2016","08:15",0,1,0,1,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,"El Plan de Tule #1","1","F","15.22879237","-87.44550713","879.00",114,"M","Forest > 100m in all directions. Canopy cover is minimal. Mature trees are mostly pine. Moderate slope. Some grazing along paths but other areas largely intact.","P","FALSO","FALSO","FALSO","SF",0,NA,0,100,0,0,0,"",10,13,6,"1","1F","03/31/2016","07:25",0,2,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1,"El Plan de Tule #1","1","F","15.22879237","-87.44550713","879.00",114,"M","Forest > 100m in all directions. Canopy cover is minimal. Mature trees are mostly pine. Moderate slope. Some grazing along paths but other areas largely intact.","P","FALSO","FALSO","FALSO","SF",0,NA,0,100,0,0,0,"",10,13,6,"1","1F","2/10/2016","08:02",3,0,0,1,0,0,0,0,1,0,0,0,1,2,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",3,"Norma Café","3P","C","15.18725292","-87.47303490","825.00",280,"F","Flat coffee plot not well maintained.  Some coffee within 50m is maintained but not at point and to area north.  Surrfounded by fields, forest adjacent to NE. Aprox age 15 years","I","FALSO","VERDADERO","VERDADERO","AF",90,"PASTURE",0,0,0,6,94,"",7.8,19,1,"3","3C","03/17/2016","11:25",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,1,0,1,4,1,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",3,"Norma Café","3P","C","15.18725292","-87.47303490","825.00",280,"F","Flat coffee plot not well maintained.  Some coffee within 50m is maintained but not at point and to area north.  Surrfounded by fields, forest adjacent to NE. Aprox age 15 years","I","FALSO","VERDADERO","VERDADERO","AF",90,"PASTURE",0,0,0,6,94,"",7.8,19,1,"3","3C","03/31/2016","12:00",0,2,0,1,0,2,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,2,0,0,1,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",4,"Norma Fragment","4P","F","15.18199738","-87.47422789","868.00",-1,"S","Oak fragment with point along ridge - sparse round leaved oak, sparse roble, very few pine, fragment possibly connects w/ forest along road to la montana, fewer leaves on oaks","G","VERDADERO","FALSO","VERDADERO","SF",80,"PASTURE",0,96,0,4,0,"",NA,17,3,"4","4F","03/17/2016","14:18",0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",4,"Norma Fragment","4P","F","15.18199738","-87.47422789","868.00",-1,"S","Oak fragment with point along ridge - sparse round leaved oak, sparse roble, very few pine, fragment possibly connects w/ forest along road to la montana, fewer leaves on oaks","G","VERDADERO","FALSO","VERDADERO","SF",80,"PASTURE",0,96,0,4,0,"",NA,17,3,"4","4F","03/31/2016","10:50",0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",5,"Elias Café","5p","C","15.17410180","-87.47996774","910.00",220,"M","Age:10, Riparian coffee plot, all coffee planted near a stream or ravine, Coffee extends to forest fragment","L","FALSO","VERDADERO","VERDADERO","AF",10,"SFOREST",0,30,0,0,70,"",9.8,0,20,"5","5C","02/23/2016","09:12",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",5,"Elias Café","5p","C","15.17410180","-87.47996774","910.00",220,"M","Age:10, Riparian coffee plot, all coffee planted near a stream or ravine, Coffee extends to forest fragment","L","FALSO","VERDADERO","VERDADERO","AF",10,"SFOREST",0,30,0,0,70,"",9.8,0,20,"5","5C","03/15/2016","09:38",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,4,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",6,"Finca de Horacio","6P","C","15.16796038","-87.39771025","973.00",220,"M","Large variety of mostly broadleaf, <5 oaks, including roble, surrounded by mostly pine oak. A moderate flow creek and 2 small ravines break up the property. To the NE @ 50m is forest. Natural canopy with pino/oak adjacent, mostly @ higher elevation.  Coffee plot divided by strea,. Half organic. Litter present","I","FALSO","VERDADERO","VERDADERO","AF",40,"SFOREST",0,21,0,0,79,"",43.6,9,11,"6","6C","3/5/2016","10:35",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",8,"Finca de Elias (Near)","8P","F","15.17653800","-87.47606537","897.00",349,"M","2013: Young trees and shrubs 2-3m with evidence of previous grazing. Significant understory cover. 
2011:Part of pine oak foreat fragment spanning a few KM on one or both sides of the ridge. Lower elevations along the ridge are used for grazing and are mostly clear of trees. Mix of pine, roble, and encino, roble is most dominant with most encinos being younger trees. Grazed with patches of grass and some forbes, ferns, young trees >1m, trees go as far as 100m in almost all directions but some areas blend in with the field, yielding more sunlight and understory, more grass","G","FALSO","FALSO","VERDADERO","SF",85,"PASTURE",0,88,0,12,0,"south 1/4 hidden by ridge",21.6,13,1,"8","8F","02/18/2016","08:25",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",8,"Finca de Elias (Near)","8P","F","15.17653800","-87.47606537","897.00",349,"M","2013: Young trees and shrubs 2-3m with evidence of previous grazing. Significant understory cover. 
2011:Part of pine oak foreat fragment spanning a few KM on one or both sides of the ridge. Lower elevations along the ridge are used for grazing and are mostly clear of trees. Mix of pine, roble, and encino, roble is most dominant with most encinos being younger trees. Grazed with patches of grass and some forbes, ferns, young trees >1m, trees go as far as 100m in almost all directions but some areas blend in with the field, yielding more sunlight and understory, more grass","G","FALSO","FALSO","VERDADERO","SF",85,"PASTURE",0,88,0,12,0,"south 1/4 hidden by ridge",21.6,13,1,"8","8F","03/15/2016","08:35",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",9,"Finca de Norma (S Edge)","9P","F","15.17065340","-87.47576019","983.00",20,"M","Part of large mostly continuous fragment, a mixture of roble, pine, and encino, understory is patchy, on a slope with small ravine to south and more dense growth lower, mostly outside 100m","G","FALSO","FALSO","VERDADERO","SF",50,"ROAD",0,100,0,0,0,"",21.6,19,1,"9","9F","02/18/2016","07:55",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",9,"Finca de Norma (S Edge)","9P","F","15.17065340","-87.47576019","983.00",20,"M","Part of large mostly continuous fragment, a mixture of roble, pine, and encino, understory is patchy, on a slope with small ravine to south and more dense growth lower, mostly outside 100m","G","FALSO","FALSO","VERDADERO","SF",50,"ROAD",0,100,0,0,0,"",21.6,19,1,"9","9F","03/15/2016","07:47",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",10,"Finca de Agusto Rojas","10P","C","15.15627801","-87.50635036","1250.00",208,"M","Narrow width coffee plot, moderate slope, brush to east, more coffee on opposite slope, forest nearby <500m","D","FALSO","VERDADERO","VERDADERO","AF",45,"SFOREST",0,18,0,0,82,"",8.6,2,18,"10","10C","02/23/2016","07:40",1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",10,"Finca de Agusto Rojas","10P","C","15.15627801","-87.50635036","1250.00",208,"M","Narrow width coffee plot, moderate slope, brush to east, more coffee on opposite slope, forest nearby <500m","D","FALSO","VERDADERO","VERDADERO","AF",45,"SFOREST",0,18,0,0,82,"",8.6,2,18,"10","10C","3/8/2016","10:25",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",11,"Finca de Francisco","11P","C","15.12465427","-87.51455365","1203.00",340,"M","terrain with variable slope, planted coffee of varied age, humid pine forest >100m up slope, boukaro significant part of canopy at time trees are bare. Large plots of café with large number of mature bucaro (since chopped down). Variable terrain with café at a variety of heights <.5m - >3m pine and possibly oak, several hundred meters higher. point at least 100m from edges. Mostly N aspect down to a stream several hundred meters lower.","I","FALSO","FALSO","VERDADERO","AF",50,"SFOREST",0,7,0,0,93,"becoming increasingly unmaintained w/ time",4.3,7,13,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",12,"Finca de Ovidio","12P","C","15.16171686","-87.43457353","1044.00",319,"M","3 coffee farms create large fairly continuous plot, most areas have weak slope, point is low and wet, most trees naturally occuring although some planted (Pito). Age 10","I","FALSO","VERDADERO","VERDADERO","AF",75,"ROAD",0,0,0,0,100,"a few tiny areas of veg in low, wet areas",22.7,9,11,"12","12C","02/112016","11:00",2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,4,0,0,1,0,0,1,0,0,0,1,0,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",12,"Finca de Ovidio","12P","C","15.16171686","-87.43457353","1044.00",319,"M","3 coffee farms create large fairly continuous plot, most areas have weak slope, point is low and wet, most trees naturally occuring although some planted (Pito). Age 10","I","FALSO","VERDADERO","VERDADERO","AF",75,"ROAD",0,0,0,0,100,"a few tiny areas of veg in low, wet areas",22.7,9,11,"12","12C","03/18/2016","09:18",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,2,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",12,"Finca de Ovidio","12P","C","15.16171686","-87.43457353","1044.00",319,"M","3 coffee farms create large fairly continuous plot, most areas have weak slope, point is low and wet, most trees naturally occuring although some planted (Pito). Age 10","I","FALSO","VERDADERO","VERDADERO","AF",75,"ROAD",0,0,0,0,100,"a few tiny areas of veg in low, wet areas",22.7,9,11,"12","12C","03/30/2016","09:26",0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
